OBSERVED VARIABLES
Cattell1	Cattell2	Cattell3	Cattell4	Hotel1	Hotel2	MD	BA10	FM	ATR	TP	FMaj
COVARIANCE
0.9899179	0.5355801	0.6181675	0.5574727	0.2281123	0.1985507	0.1286876	0.1646565	0.4309867	0.3258916	0.0774996	0.3350456
0.534635514286	0.996345771781	0.57695594321	0.512333217637	0.1773332903	0.189391685714	0.201377509347	0.224978211993	0.409519866667	0.32784946067	0.0766841156966	0.295212023986
0.617077257496	0.57695594321	0.97971166067	0.541113269489	0.264298341799	0.260547069489	0.190804489594	0.194172139683	0.493220385891	0.37117401552	0.0943429164021	0.3494538903
0.556489502998	0.512333217637	0.541113269489	0.987297458201	0.123816443034	0.129175075485	0.280797491358	0.280598842328	0.413462201411	0.319234780952	0.202105323457	0.297473827866
0.227709985538	0.1773332903	0.264298341799	0.123816443034	1.00104886243	0.709654393651	0.0135269008818	0.0417649104056	0.18098453933	0.20531375485	0.0301260737213	0.190801395062
0.198200522399	0.189391685714	0.260547069489	0.129175075485	0.709654393651	0.999269206702	0.100034760141	0.122349335097	0.185518928042	0.200179426102	0.0789174698413	0.148771552734
0.128460637743	0.201377509347	0.190804489594	0.280797491358	0.0135269008818	0.100034760141	0.881074730864	0.71948931746	0.137909643386	0.170912833862	0.684752390123	-0.0293910723104
0.164366100529	0.224978211993	0.194172139683	0.280598842328	0.0417649104056	0.122349335097	0.71948931746	0.912831024339	0.130854408466	0.195721003175	0.612190591182	-0.0504448747795
0.430226582363	0.409519866667	0.493220385891	0.413462201411	0.18098453933	0.185518928042	0.137909643386	0.130854408466	0.951628078307	0.696882658554	0.0156469552028	0.713798771429
0.325316835273	0.32784946067	0.37117401552	0.319234780952	0.20531375485	0.200179426102	0.170912833862	0.195721003175	0.696882658554	0.910468498413	0.102870649735	0.55854996261
0.0773629164021	0.0766841156966	0.0943429164021	0.202105323457	0.0301260737213	0.0789174698413	0.684752390123	0.612190591182	0.0156469552028	0.102870649735	0.888774027866	-0.0725578059965
0.334454690653	0.295212023986	0.3494538903	0.297473827866	0.190801395062	0.148771552734	-0.0293910723104	-0.0504448747795	0.713798771429	0.55854996261	-0.0725578059965	0.842813230688

SAMPLE SIZE
567
